Round,Client,Accuracy,Trust,Weight,Status
1,1,0.9367,0.95,0.26,Trusted
1,2,0.9347,0.95,0.26,Trusted
1,3,0.8217,0.79,0.22,Trusted
1,4,0.9359,0.95,0.26,Trusted
2,1,0.9367,0.95,0.27,Trusted
2,2,0.9347,0.95,0.27,Trusted
2,3,0.7033,0.7,0.2,Trusted
2,4,0.9359,0.95,0.27,Trusted
3,1,0.9367,0.96,0.28,Trusted
3,2,0.9347,0.95,0.28,Trusted
3,3,0.5109,0.57,0.17,Trusted
3,4,0.9359,0.96,0.28,Trusted
4,1,0.9367,0.96,0.29,Trusted
4,2,0.9347,0.95,0.29,Trusted
4,3,0.2994,0.43,0.13,Suspicious
4,4,0.9359,0.95,0.29,Trusted
5,1,0.9367,0.95,0.33,Trusted
5,2,0.9347,0.95,0.33,Trusted
5,3,0.1751,0.32,0,Suspicious
5,4,0.9359,0.95,0.33,Trusted
